"id";"name";"team_id";"value";"sporza_name"
"240";"Sébastien Dewaest";"9";"22";"Sébastien Dewaest"
"241";"Jhon Lucumi";"9";"22";"Jhon Lucumi"
"242";"Rubin Seigers";"9";"4";"Rubin Seigers"
"243";"Jere Uronen";"9";"12";"Jere Uronen"
"244";"Bojan Nastic";"9";"10";"Bojan Nastic"
"245";"Joakim Mæhle";"9";"20";"Joakim Mæhle"
"246";"Sander Berge";"9";"120";"Sander Berge"
"247";"Ibrahima Seck";"9";"20";"Ibrahima Seck"
"248";"Vladimir Screciu";"9";"12";"Vladimir Screciu"
"249";"Dries Wouters";"9";"8";"Dries Wouters"
"250";"Ruslan Malinovskiy";"9";"70";"Ruslan Malinovskiy"
"251";"Jakub Piotrowski";"9";"20";"Jakub Piotrowski"
"252";"Bryan Heynen";"9";"17";"Bryan Heynen"
"253";"Alejandro Pozuelo";"9";"65";"Alejandro Pozuelo"
"254";"Ivan Fiolic";"9";"15";"Ivan Fiolic"
"255";"Leandro Trossard";"9";"100";"Leandro Trossard"
"256";"Joseph Paintsil";"9";"25";"Joseph Paintsil"
"257";"Dieumerci Ndongala";"9";"20";"Dieumerci Ndongala"
"258";"Edon Zhegrova";"9";"15";"Edon Zhegrova"
"259";"Mbwana Samatta";"9";"40";"Mbwana Samatta"
"260";"Marcus Ingvartsen";"9";"25";"Marcus Ingvartsen"
"261";"Zinho Gano";"9";"18";"Zinho Gano"
"262";"Thomas Didillon";"10";"30";"Thomas Didillon"
"263";"Frank Boeckx";"10";"7";"Frank Boeckx"
"264";"Boy de Jong";"10";"1";"Boy de Jong"
"265";"Ilias Moutha-Sebtaoui";"10";"1";"Ilias Moutha-Sebtaoui"
"266";"Bubacarr Sanneh";"10";"60";"Bubacarr Sanneh"
"267";"Antonio Milic";"10";"30";"Antonio Milic"
"268";"Ognjen Vranješ";"10";"25";"Ognjen Vranješ"
"269";"Sebastiaan Bornauw";"10";"10";"Sebastiaan Bornauw"
"270";"James Lawrence";"10";"6";"James Lawrence"
"271";"Abdoul Karim Danté";"10";"4";"Abdoul Dante"
"272";"Hannes Delcroix";"10";"3";"Hannes Delcroix"
"273";"Elias Cobbaut";"10";"30";"Elias Cobbaut"
"274";"Ivan Obradovic";"10";"10";"Ivan Obradovic"
"275";"Andy Nájar";"10";"30";"Andy Najar"
"276";"Dennis Appiah";"10";"25";"Dennis Appiah"
"277";"Alexis Saelemaekers";"10";"25";"Alexis Saelemaekers"
"278";"Emmanuel Sowah Adjei";"10";"5";"Emmanuel Sowah Adjei"
"279";"Sven Kums";"10";"40";"Sven Kums"
"280";"Evgeniy Makarenko";"10";"22";"Evgeniy Makarenko"
"281";"Albert-Mboyo Sambi Lokonga";"10";"7";"Albert-Mboyo Sambi Lokonga"
"282";"Adrien Trebel";"10";"85";"Adrien Trebel"
"283";"Pieter Gerkens";"10";"35";"Pieter Gerkens"
"284";"Kenny Saief";"10";"35";"Kenny Saief"
"285";"Ryota Morioka";"10";"35";"Ryota Morioka"
"286";"Edo Kayembe";"10";"4";"Edo Kayembe"
"287";"Knowledge Musona";"10";"25";"Knowledge Musona"
"288";"Zakaria Bakkali";"10";"15";"Zakaria Bakkali"
"289";"Luka Adzic";"10";"11";"Luka Adzic"
"290";"Francis Amuzu";"10";"5";"Francis Amuzu"
"291";"Kristal Abazaj";"10";"7";"Kristal Abazaj"
"292";"Mohammed Dauda";"10";"4";"Mohammed Dauda"
"293";"Nany Dimata";"10";"60";"Nany Dimata"
"294";"Ivan Santini";"10";"50";"Ivan Santini"
"295";"Olivier Werner";"11";"4";"Olivier Werner"
"296";"Logan Bailly";"11";"4";"Logan Bailly"
"297";"Jean Butez";"11";"3";"Jean Butez"
"298";"Clément Libertiaux";"11";"1";"Clément Libertiaux"
"299";"Noë Dussenne";"11";"7";"Noe Dussenne"
"300";"Bruno Godeau";"11";"7";"Bruno Godeau"
"301";"Nathan de Medina";"11";"4";"Nathan de Medina"
"302";"Christophe Diedhiou";"11";"4";"Christophe Diedhiou"
"303";"Rijad Sadiku";"11";"3";"Rijad Sadiku"
"304";"Aleksa Damjanac";"11";"1";"Aleksa Damjanac"
"305";"Alexandros Katranis";"11";"8";"Alexandros Katranis"
"306";"Nikola Gulan";"11";"4";"Nikola Gulan"
"307";"Mërgim Vojvoda";"11";"9";"Mërgim Vojvoda"
"308";"Georgios Galitsios";"11";"4";"Georgios Galitsios"
"309";"Jesús Marimón";"11";"6";"Jesús Marimón"
"310";"Marko Bakic";"11";"9";"Marko Bakic"
"311";"Benjamin Van Durmen";"11";"8";"Benjamin Van Durmen"
"312";"Luka Lukovic";"11";"4";"Luka Lukovic"
"313";"Sebastjan Spahiu";"11";"3";"Sebastjan Spahiu"
"314";"Frank Boya";"11";"2";"Frank Boya"
"315";"Dimitri Mohamed";"11";"7";"Dimitri Mohamed"
"316";"Selim Amallah";"11";"10";"Selim Amallah"
"317";"Luca Napoleone";"11";"4";"Luca Napoleone"
"318";"Babacar Dione";"11";"1";"Babacar Dione"
"319";"Fabrice Olinga";"11";"7";"Fabrice Olinga"
"320";"Mico Kuzmanovic";"11";"5";"Mico Kuzmanovic"
"321";"Benson Manuel";"11";"7";"Manuel Benson"
"322";"Idrisa Sambu";"11";"4";"Idrisa Sambu"
"323";"Noam Debaisieux";"11";"2";"Noam Debaisieux"
"324";"Mbaye Leye";"11";"5";"Mbaye Leye"
"325";"Frantzdy Pierrot";"11";"4";"Frantzdy Pierrot"
"326";"Yannis Mbombo";"11";"3";"Yannis Mbombo"
"327";"Mario Jelavic";"11";"3";"Mario Jelavic"
"328";"Thomas Kaminski";"12";"15";"Thomas Kaminski"
"329";"Sébastien Bruzzese";"12";"5";"Sébastien Bruzzese"
"330";"Jarno De Smet";"12";"1";"Jarno De Smet"
"331";"Arne Galens";"12";"1";"Arne Galens"
"332";"Prince Kasongo";"12";"1";"Prince Kasongo"
"333";"Gary Kagelmacher";"12";"8";"Gary Kagelmacher"
"334";"Brendan Hines-Ike";"12";"8";"Brendan Hines-Ike"
"335";"Mohammad Naderi";"12";"5";"Mohammad Naderi"
"336";"Lucas Rougeaux";"12";"5";"Lucas Rougeaux"
"337";"Alioune Camara";"12";"1";"Alioune Camara"
"338";"Kristof D'Haene";"12";"7";"Kristof D'Haene"
"339";"Andriy Batsula";"12";"6";"Andriy Batsula"
"340";"Petar Golubovic";"12";"4";"Petar Golubovic"
"341";"Anthony Van Loo";"12";"4";"Anthony Van Loo"
"342";"Abel Kasong";"12";"1";"Abel Kasong"
"343";"Hannes Van der Bruggen";"12";"15";"Hannes Van der Bruggen"
"344";"Julien de Sart";"12";"15";"Julien de Sart"
"345";"Elohim Rolland";"12";"9";"Elohim Rolland"
"346";"Bennard Kumordzi";"12";"3";"Bennard Kumordzi"
"347";"Charilaos Charisis";"12";"10";"Charilaos Charisis"
"348";"Larry Azouni";"12";"7";"Larry Azouni"
"349";"Kanu";"12";"6";"Kanu"
"350";"Abdul Ajagun";"12";"8";"Abdul Ajagun"
"351";"Jovan Stojanovic";"12";"6";"Jovan Stojanovic"
"352";"Christophe Lepoint";"12";"4";"Christophe Lepoint"
"353";"Medjon Hoxha";"12";"2";"Medjon Hoxha"
"354";"Tyron Ivanof";"12";"2";"Tyron Ivanof"
"355";"Idir Ouali";"12";"8";"Idir Ouali"
"356";"Jean Marco Toualy";"12";"2";"Jean Marco Toualy"
"357";"Teddy Chevalier";"12";"12";"Teddy Chevalier"
"358";"Felipe Avenatti";"12";"12";"Felipe Avenatti"
"359";"Imoh Ezekiel";"12";"10";"Imoh Ezekiel"
"360";"Ilombe Mboyo";"12";"9";"Ilombe Mboyo"
"361";"Sinan Bolat";"13";"15";"Sinan Bolat"
"362";"Jens Teunckens";"13";"4";"Jens Teunckens"
"363";"Yves De Winter";"13";"2";"Yves De Winter"
"364";"Bill Lathouwers";"13";"1";"Bill Lathouwers"
"365";"Dylan Batubinsika";"13";"12";"Dylan Batubinsika"
"366";"Matheus";"13";"10";"Matheus"
"367";"Dino Arslanagic";"13";"9";"Dino Arslanagic"
"368";"Abdoulaye Seck";"13";"4";"Abdoulaye Seck"
"369";"Simen Juklerød";"13";"7";"Simen Juklerød"
"370";"Jelle Van Damme";"13";"3";"Jelle Van Damme"
"371";"Daniel Opare";"13";"10";"Daniel Opare"
"372";"Buta";"13";"8";"Aurélio Buta"
"373";"Omar Govea";"13";"22";"Omar Govea"
"374";"Sambou Yatabaré";"13";"9";"Sambou Yatabaré"
